Date/Time,Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Cooling:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 February,1781439162.7133195,1387858862.470601,0.0,14509300.242714882,0.0,0.0,379070999.9999996,379070999.9999996,0.0,0.0,0.0
 July,1923724591.7965066,0.0,593926817.2033718,41294774.59313979,0.0,0.0,1288502999.9999979,1288502999.9999979,0.0,0.0,0.0
 December,48044945660.994255,12187084503.929178,7736092797.4107485,734123747.5117384,0.0,0.0,27387644612.14242,27387644612.14242,0.0,0.0,0.0
