Date/Time,LIVING:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),ATTIC:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),CRAWLSPACE:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),Facility:Facility Heating Setpoint Not Met Time [hr](RunPeriod),Facility:Facility Cooling Setpoint Not Met Time [hr](RunPeriod),HEATING_RESISTANCE_MAIN:Heating Coil Electricity Energy [J](RunPeriod),Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Cooling:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 February,0.12547762250576056,0.0,0.0000017271448531742683,0.0,0.0,1387858862.4706025,1781439162.7133195,1387858862.470601,0.0,14509300.242714882,0.0,0.0,379070999.9999996,379070999.9999996,0.0,0.0,0.0
 July,0.1408767414722855,5.3937280725217445e-8,7.69629448680621e-7,0.0,0.0,0.0,1923724591.7965066,0.0,593926817.2033718,41294774.59313979,0.0,0.0,1288502999.9999979,1288502999.9999979,0.0,0.0,0.0
 December,0.12268475478737603,3.292721551858165e-8,9.218743909063666e-7,1.5,12.666666666666666,12187084503.929195,48044945660.994255,12187084503.929178,7736092797.4107485,734123747.5117384,0.0,0.0,27387644612.14242,27387644612.14242,0.0,0.0,0.0
