Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEATING_RESISTANCE_MAIN:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,9.333333333333334,21.163345751103456,11.779763901648762,20.027961746110233,18.79982778766981,1569.0343304044297
 01/01  02:00:00,11.0,21.163441151597493,12.367412475878709,19.861466483246975,18.27861270180002,1525.5336998406349
 01/01  03:00:00,11.0,21.163403033524144,12.61841112536024,19.82513112745596,18.519200451621913,1545.6131624404406
 01/01  04:00:00,11.0,21.16315206165022,12.297660736290362,19.76800015257691,19.01508071027437,1586.9993473769764
 01/01  05:00:00,11.0,21.163059558931476,12.268635010609877,19.612346117437358,19.416507527211845,1620.5024445347583
 01/01  06:00:00,10.416666666666666,21.162811112233396,12.226048122713692,19.52036136384115,19.937072236017556,1663.9487946044567
 01/01  07:00:00,10.0,21.162732320021604,11.925917261529023,19.394999642923498,20.317789508691888,1695.723472423355
 01/01  08:00:00,10.0,21.162593749441953,11.823420609093668,19.392532714645327,20.58546226072193,1718.0634503206218
 01/01  09:00:00,10.0,21.165785673347077,12.122753072659146,19.30496688872115,18.19573673421061,1518.61686848548
 01/01  10:00:00,9.416666666666666,21.17055123952001,15.089237092909249,19.165731044198655,11.485892338986204,958.6130042647769
 01/01  11:00:00,9.583333333333334,21.168639916217135,16.628516055687175,19.1774164671266,9.218700519902873,769.3930902351954
 01/01  12:00:00,10.0,21.17127583740145,17.59954402400468,19.064725137965564,6.560513128703124,547.5406711307993
 01/01  13:00:00,10.0,21.241539371373904,19.360336917836175,18.490875717899797,1.1767144681395827,98.20863352830956
 01/01  14:00:00,10.583333333333334,21.58712885914672,14.949474957574429,16.824442521068033,0.0,0.0
 01/01  15:00:00,10.416666666666666,21.454733832338174,11.382248030775415,16.701101528114854,0.0,0.0
 01/01  16:00:00,10.0,21.30661918350248,9.183280107677463,16.62222346595913,0.0,0.0
 01/01  17:00:00,10.0,21.16977576427097,12.902830250485238,18.62351189424841,7.98415130221414,666.3575663460882
 01/01  18:00:00,9.416666666666666,21.166828912602107,12.73576742076971,18.872883964476248,10.999582229428631,918.0255443296904
 01/01  19:00:00,9.0,21.165601247904196,12.079430112104758,18.634251672365057,13.62175636643771,1136.8722958921849
 01/01  20:00:00,8.416666666666666,21.16469608147813,12.13526844770251,18.531768792845103,15.71759067288663,1311.7907055073244
 01/01  21:00:00,8.0,21.163914612332814,11.623433766999812,18.574373390477806,17.445357781392747,1455.9902130138616
 01/01  22:00:00,8.0,21.163526816798626,11.404133863761139,18.477749991835427,18.529325418425543,1546.4581925486164
 01/01  23:00:00,8.0,21.1630867178857,11.468402208108415,18.19866779764561,19.507785249372585,1628.1204866407213
 01/01  24:00:00,7.416666666666667,21.16259522331052,11.823100550295266,18.094473489737336,20.71804861067034,1729.129112046976
 01/02  01:00:00,7.0,21.16250505552774,11.568684583157578,18.174638432161576,21.224745239810982,1771.4180316690638
 01/02  02:00:00,7.0,21.162205205087357,11.359676781626021,18.162390176136974,21.71427413619926,1812.2741316734464
 01/02  03:00:00,6.416666666666667,21.161496410814376,10.997722116604974,18.128494117575794,23.012629520344756,1920.6349206018333
 01/02  04:00:00,6.0,21.160987111572577,10.479338918509546,18.067325509295596,24.446290803194447,2040.2883448974633
 01/02  05:00:00,6.0,21.160436325542985,10.29058522474797,17.97972914887308,25.718422403065073,2146.4604958093164
 01/02  06:00:00,6.0,21.160324660063505,10.268008757467877,17.993193261960787,26.419646735438644,2204.984704819926
 01/02  07:00:00,6.0,21.160264731926457,9.888847375245218,18.063594661637058,26.64554228057317,2223.837955466932
 01/02  08:00:00,5.416666666666667,21.159657063617374,9.166696283042421,18.200431265957683,27.49651206422476,2294.859925442736
 01/02  09:00:00,5.583333333333333,21.160189960893344,8.392310076198923,18.238982775606075,26.83826715483576,2239.9227806821505
 01/02  10:00:00,6.0,21.1623910531256,9.72132391260739,18.202549201174403,24.882229314469253,2076.671789355618
 01/02  11:00:00,6.0,21.161085898556493,10.148904449443876,18.16070163026132,24.104078998187827,2011.7273348504875
 01/02  12:00:00,6.583333333333333,21.16246853360233,10.541264308834219,18.120935448755752,22.71171222766435,1895.5203520983077
 01/02  13:00:00,7.0,21.16217061508054,10.846210635287711,18.003174611867035,22.007187938486144,1836.7207285693419
 01/02  14:00:00,7.0,21.16216722500482,10.367901055612444,17.975884508194365,22.101995360218297,1844.63335953357
 01/02  15:00:00,6.416666666666667,21.161886402816787,9.540440119947,18.000830374797435,22.31203170299681,1862.1630005586987
 01/02  16:00:00,5.416666666666667,21.16290350334755,10.224008167645616,17.975456635208126,20.49106550839145,1710.1850938400185
 01/02  17:00:00,5.0,21.165810120398767,9.686063954520462,17.954333552836115,21.3508929240691,1781.9463221160556
 01/02  18:00:00,5.0,21.162859316222477,7.86019966837722,17.909784482541543,23.357307525999044,1949.4017598471166
