Date/Time,LIVING:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),ATTIC:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),CRAWLSPACE:AFN Zone Infiltration Air Change Rate [ach](RunPeriod),Facility:Facility Heating Setpoint Not Met Time [hr](RunPeriod),Facility:Facility Cooling Setpoint Not Met Time [hr](RunPeriod),HEATING_RESISTANCE_MAIN:Heating Coil Electricity Energy [J](RunPeriod),Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 February,0.4358366286053294,1.2395268133046982,0.846308761590996,0.0,0.0,968233209.5516629,1552645669.0961976,968233209.5516633,11601159.544534773,0.0,0.0,572811299.9999994,572811299.9999994,0.0,0.0,0.0
 August,0.22298448714577934,0.9137520229464897,0.6479636273071941,0.0,167.99999999999997,0.0,552983399.9999992,0.0,0.0,0.0,0.0,552983399.9999992,552983399.9999992,0.0,0.0,0.0
 December,0.3521992851610623,1.1300913707792424,0.8638012401025467,0.0,3236.3333333333317,22249992916.50749,54423301641.148575,22249992916.507507,266594571.57919085,0.0,0.0,31906714153.062675,31906714153.062675,0.0,0.0,0.0
