Date/Time,Electricity:Facility [J](RunPeriod),Heating:Electricity [J](RunPeriod),Cooling:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),Pumps:Electricity [J](RunPeriod),WaterSystems:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),ExteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),electric_mels:InteriorEquipment:Electricity [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:NaturalGas [J](RunPeriod),gas_mels:InteriorEquipment:NaturalGas [J](RunPeriod)
 July,138192285.77218936,0.0,8118935.627754532,777780.2908857921,0.0,25559324.034081606,60536245.81946747,43200000.0,0.0,0.0,17116058.285883815,17116058.285883815,17116058.285883815
 December,428974747.07128497,273048847.0495955,0.0,16383318.6215837,0.0,35806335.58063843,60536245.81946747,43200000.0,0.0,0.0,17116058.285883815,17116058.285883815,17116058.285883815
 December,62432019371.38298,12017619991.05677,506722813.2306834,712743241.6286378,0.0,11331203601.364552,22095729724.107828,15768000000.0,0.0,0.0,6247361274.347478,6247361274.347478,6247361274.347478
