Time,LIVING:KALISPELL-GLACIER.PARK.INTL.A ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING:KALISPELL-GLACIER.PARK.INTL.A ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING:KALISPELL-GLACIER.PARK.INTL.A ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING:KALISPELL-GLACIER.PARK.INTL.A ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,5.126136E+03,0.000000E+00,1.706609E-01,0.000000E+00
02:00:00,5.297986E+03,0.000000E+00,1.763855E-01,0.000000E+00
03:00:00,5.409257E+03,0.000000E+00,1.800889E-01,0.000000E+00
04:00:00,5.487389E+03,0.000000E+00,1.826896E-01,0.000000E+00
05:00:00,5.545898E+03,0.000000E+00,1.846375E-01,0.000000E+00
06:00:00,5.592779E+03,0.000000E+00,1.861984E-01,0.000000E+00
07:00:00,5.629570E+03,0.000000E+00,1.874233E-01,0.000000E+00
08:00:00,5.662538E+03,9.591553E+01,1.885209E-01,6.939867E-03
09:00:00,5.691517E+03,9.521636E+02,1.894855E-01,6.891469E-02
10:00:00,5.717234E+03,1.987877E+03,1.903416E-01,1.438068E-01
11:00:00,5.740285E+03,2.767573E+03,1.911088E-01,2.002091E-01
12:00:00,5.761119E+03,3.147661E+03,1.918022E-01,2.277058E-01
13:00:00,5.780023E+03,3.261993E+03,1.924313E-01,2.359768E-01
14:00:00,5.797306E+03,3.548490E+03,1.930063E-01,2.567016E-01
15:00:00,5.813475E+03,3.921508E+03,1.935444E-01,2.836842E-01
16:00:00,5.828623E+03,4.069616E+03,1.940487E-01,2.943984E-01
17:00:00,5.842865E+03,3.917781E+03,1.945228E-01,2.834169E-01
18:00:00,5.856302E+03,3.544488E+03,1.949701E-01,2.564136E-01
19:00:00,5.869020E+03,3.068283E+03,1.953934E-01,2.219645E-01
20:00:00,5.881092E+03,2.333705E+03,1.957953E-01,1.688241E-01
21:00:00,5.892580E+03,7.295561E+02,1.961776E-01,5.277745E-02
22:00:00,5.903538E+03,7.864606E+01,1.965424E-01,5.689416E-03
23:00:00,5.914010E+03,0.000000E+00,1.968909E-01,0.000000E+00
24:00:00,5.924036E+03,0.000000E+00,1.972246E-01,0.000000E+00
Peak,5.924036E+03,4.069616E+03,1.972246E-01,2.943984E-01

Peak Vol Flow (m3/s),,,1.825395E-01,2.724778E-01
